EbN0_dB,BER,FER
0.000000000000000000e+00,2.150000000000000000e+02,1.280000000000000027e-01
5.000000000000000000e-01,2.200000000000000000e+02,6.519999999999999407e-02
1.000000000000000000e+00,2.060000000000000000e+02,2.520000000000000018e-02
1.500000000000000000e+00,2.010000000000000000e+02,4.409999999999999858e-03
2.000000000000000000e+00,2.000000000000000000e+02,5.739999999999999660e-04
2.500000000000000000e+00,2.000000000000000000e+02,1.110000000000000011e-04
3.000000000000000000e+00,3.600000000000000000e+01,1.380000000000000001e-05
3.000000000000000000e+00,7.700000000000000000e+01,1.509999999999999942e-05
3.000000000000000000e+00,1.070000000000000000e+02,1.399999999999999979e-05
3.000000000000000000e+00,1.330000000000000000e+02,1.329999999999999972e-05
3.000000000000000000e+00,1.650000000000000000e+02,1.349999999999999949e-05
3.000000000000000000e+00,1.930000000000000000e+02,1.290000000000000016e-05
3.000000000000000000e+00,2.000000000000000000e+02,1.259999999999999964e-05
3.500000000000000000e+00,3.000000000000000000e+00,1.129999999999999981e-06
3.500000000000000000e+00,7.000000000000000000e+00,1.450000000000000093e-06
3.500000000000000000e+00,1.200000000000000000e+01,1.570000000000000003e-06
3.500000000000000000e+00,1.400000000000000000e+01,1.390000000000000032e-06
3.500000000000000000e+00,1.800000000000000000e+01,1.410000000000000053e-06
3.500000000000000000e+00,2.200000000000000000e+01,1.469999999999999902e-06
3.500000000000000000e+00,2.900000000000000000e+01,1.700000000000000029e-06
3.500000000000000000e+00,3.100000000000000000e+01,1.560000000000000099e-06
3.500000000000000000e+00,3.300000000000000000e+01,1.450000000000000093e-06
3.500000000000000000e+00,3.500000000000000000e+01,1.410000000000000053e-06
3.500000000000000000e+00,3.700000000000000000e+01,1.329999999999999972e-06
3.500000000000000000e+00,4.000000000000000000e+01,1.320000000000000067e-06
3.500000000000000000e+00,4.500000000000000000e+01,1.359999999999999896e-06
3.500000000000000000e+00,4.900000000000000000e+01,1.390000000000000032e-06
3.500000000000000000e+00,5.300000000000000000e+01,1.390000000000000032e-06
3.500000000000000000e+00,5.800000000000000000e+01,1.439999999999999977e-06
3.500000000000000000e+00,6.700000000000000000e+01,1.520000000000000058e-06
3.500000000000000000e+00,7.200000000000000000e+01,1.520000000000000058e-06
3.500000000000000000e+00,7.700000000000000000e+01,1.540000000000000079e-06
3.500000000000000000e+00,7.900000000000000000e+01,1.500000000000000038e-06
3.500000000000000000e+00,8.500000000000000000e+01,1.579999999999999907e-06
3.500000000000000000e+00,9.000000000000000000e+01,1.579999999999999907e-06
3.500000000000000000e+00,9.600000000000000000e+01,1.610000000000000044e-06
3.500000000000000000e+00,1.020000000000000000e+02,1.639999999999999968e-06
3.500000000000000000e+00,1.070000000000000000e+02,1.659999999999999988e-06
3.500000000000000000e+00,1.090000000000000000e+02,1.619999999999999948e-06
3.500000000000000000e+00,1.180000000000000000e+02,1.700000000000000029e-06
3.500000000000000000e+00,1.220000000000000000e+02,1.709999999999999933e-06
3.500000000000000000e+00,1.260000000000000000e+02,1.700000000000000029e-06
3.500000000000000000e+00,1.290000000000000000e+02,1.689999999999999913e-06
3.500000000000000000e+00,1.310000000000000000e+02,1.659999999999999988e-06
3.500000000000000000e+00,1.330000000000000000e+02,1.630000000000000064e-06
3.500000000000000000e+00,1.360000000000000000e+02,1.630000000000000064e-06
3.500000000000000000e+00,1.380000000000000000e+02,1.610000000000000044e-06
3.500000000000000000e+00,1.420000000000000000e+02,1.610000000000000044e-06
