EbN0_dB,BER,FER
0.000000000000000000e+00,2.210000000000000000e+02,1.590000000000000024e-01
5.000000000000000000e-01,2.170000000000000000e+02,7.679999999999999327e-02
1.000000000000000000e+00,2.040000000000000000e+02,1.529999999999999936e-02
1.500000000000000000e+00,2.020000000000000000e+02,1.770000000000000089e-03
2.000000000000000000e+00,2.000000000000000000e+02,1.869999999999999917e-04
2.500000000000000000e+00,5.300000000000000000e+01,2.199999999999999943e-05
2.500000000000000000e+00,1.120000000000000000e+02,2.220000000000000090e-05
2.500000000000000000e+00,1.730000000000000000e+02,2.300000000000000002e-05
2.500000000000000000e+00,2.000000000000000000e+02,2.239999999999999899e-05
3.000000000000000000e+00,7.000000000000000000e+00,2.820000000000000105e-06
3.000000000000000000e+00,1.500000000000000000e+01,2.929999999999999899e-06
3.000000000000000000e+00,1.900000000000000000e+01,2.470000000000000068e-06
3.000000000000000000e+00,2.300000000000000000e+01,2.290000000000000098e-06
3.000000000000000000e+00,2.600000000000000000e+01,2.049999999999999854e-06
3.000000000000000000e+00,2.900000000000000000e+01,1.949999999999999965e-06
3.000000000000000000e+00,3.200000000000000000e+01,1.870000000000000095e-06
3.000000000000000000e+00,3.900000000000000000e+01,2.009999999999999814e-06
3.000000000000000000e+00,4.100000000000000000e+01,1.889999999999999904e-06
3.000000000000000000e+00,4.600000000000000000e+01,1.909999999999999924e-06
3.000000000000000000e+00,5.100000000000000000e+01,1.940000000000000060e-06
3.000000000000000000e+00,5.500000000000000000e+01,1.880000000000000000e-06
3.000000000000000000e+00,6.100000000000000000e+01,1.919999999999999828e-06
3.000000000000000000e+00,6.700000000000000000e+01,1.949999999999999965e-06
3.000000000000000000e+00,7.300000000000000000e+01,1.980000000000000101e-06
3.000000000000000000e+00,7.800000000000000000e+01,1.990000000000000005e-06
3.000000000000000000e+00,8.200000000000000000e+01,1.959999999999999869e-06
3.000000000000000000e+00,8.700000000000000000e+01,1.980000000000000101e-06
3.000000000000000000e+00,9.100000000000000000e+01,1.959999999999999869e-06
3.000000000000000000e+00,9.200000000000000000e+01,1.889999999999999904e-06
3.000000000000000000e+00,9.500000000000000000e+01,1.850000000000000075e-06
3.000000000000000000e+00,1.020000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.080000000000000000e+02,1.949999999999999965e-06
3.000000000000000000e+00,1.090000000000000000e+02,1.880000000000000000e-06
3.000000000000000000e+00,1.130000000000000000e+02,1.850000000000000075e-06
3.000000000000000000e+00,1.200000000000000000e+02,1.889999999999999904e-06
3.000000000000000000e+00,1.260000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.300000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.350000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.410000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.490000000000000000e+02,1.949999999999999965e-06
3.000000000000000000e+00,1.560000000000000000e+02,1.970000000000000197e-06
3.000000000000000000e+00,1.610000000000000000e+02,1.990000000000000005e-06
3.000000000000000000e+00,1.620000000000000000e+02,1.940000000000000060e-06
3.000000000000000000e+00,1.690000000000000000e+02,1.970000000000000197e-06
3.000000000000000000e+00,1.740000000000000000e+02,1.970000000000000197e-06
3.000000000000000000e+00,1.760000000000000000e+02,1.930000000000000156e-06
3.000000000000000000e+00,1.790000000000000000e+02,1.919999999999999828e-06
3.000000000000000000e+00,1.820000000000000000e+02,1.900000000000000020e-06
3.000000000000000000e+00,1.840000000000000000e+02,1.880000000000000000e-06
3.000000000000000000e+00,1.880000000000000000e+02,1.859999999999999979e-06
3.000000000000000000e+00,1.960000000000000000e+02,1.889999999999999904e-06
3.000000000000000000e+00,2.000000000000000000e+02,1.909999999999999924e-06
3.500000000000000000e+00,0.000000000000000000e+00,5.340000000000000171e-08
3.500000000000000000e+00,1.000000000000000000e+00,2.680000000000000175e-07
3.500000000000000000e+00,1.000000000000000000e+00,1.790000000000000014e-07
3.500000000000000000e+00,2.000000000000000000e+00,1.919999999999999987e-07
3.500000000000000000e+00,2.000000000000000000e+00,1.540000000000000026e-07
3.500000000000000000e+00,2.000000000000000000e+00,1.280000000000000080e-07
3.500000000000000000e+00,2.000000000000000000e+00,1.089999999999999967e-07
3.500000000000000000e+00,2.000000000000000000e+00,9.550000000000000150e-08
3.500000000000000000e+00,3.000000000000000000e+00,1.460000000000000103e-07
3.500000000000000000e+00,3.000000000000000000e+00,1.309999999999999951e-07
3.500000000000000000e+00,3.000000000000000000e+00,1.189999999999999936e-07
3.500000000000000000e+00,3.000000000000000000e+00,1.089999999999999967e-07
3.500000000000000000e+00,3.000000000000000000e+00,1.010000000000000044e-07
3.500000000000000000e+00,3.000000000000000000e+00,9.390000000000000041e-08
3.500000000000000000e+00,3.000000000000000000e+00,8.769999999999999783e-08
3.500000000000000000e+00,5.000000000000000000e+00,1.470000000000000061e-07
3.500000000000000000e+00,5.000000000000000000e+00,1.389999999999999874e-07
3.500000000000000000e+00,6.000000000000000000e+00,1.739999999999999964e-07
3.500000000000000000e+00,6.000000000000000000e+00,1.650000000000000084e-07
3.500000000000000000e+00,6.000000000000000000e+00,1.569999999999999897e-07
3.500000000000000000e+00,7.000000000000000000e+00,1.730000000000000006e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.780000000000000057e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.710000000000000092e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.640000000000000127e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.569999999999999897e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.520000000000000111e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.460000000000000103e-07
3.500000000000000000e+00,8.000000000000000000e+00,1.410000000000000053e-07
3.500000000000000000e+00,9.000000000000000000e+00,1.499999999999999932e-07
3.500000000000000000e+00,9.000000000000000000e+00,1.449999999999999881e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.590000000000000076e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.540000000000000026e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.489999999999999975e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.449999999999999881e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.410000000000000053e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.369999999999999959e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.330000000000000130e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.299999999999999994e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.259999999999999901e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.230000000000000029e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.199999999999999893e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.179999999999999978e-07
3.500000000000000000e+00,1.000000000000000000e+01,1.149999999999999974e-07
3.500000000000000000e+00,1.100000000000000000e+01,1.280000000000000080e-07
3.500000000000000000e+00,1.100000000000000000e+01,1.249999999999999943e-07
3.500000000000000000e+00,1.100000000000000000e+01,1.220000000000000072e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.239999999999999986e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.220000000000000072e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.189999999999999936e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.170000000000000021e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.149999999999999974e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.119999999999999970e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.100000000000000056e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.080000000000000009e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.059999999999999963e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.040000000000000048e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.029999999999999959e-07
3.500000000000000000e+00,1.200000000000000000e+01,1.010000000000000044e-07
3.500000000000000000e+00,1.300000000000000000e+01,1.089999999999999967e-07
